Schedules,S.No.,Chapter/Heading/Sub-heading/Tariffitem,DescriptionofGoods,CGST(%),SGST/UTGST(%),IGST(%),CompensationCess
I,30,08,"Dried makhana, whether or not shelled or peeled pre-packaged and labelled.",2.5,2.5,5.0,
I,30A,0804,"Mangoes sliced, dried",2.5,2.5,5.0,
I,31,0806,"Grapes, dried, and raisins",2.5,2.5,5.0,
I,32,0811,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter",2.5,2.5,5.0,
I,33,0812,"Fruit and nuts, provisionally preserved (for example, by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions), but unsuitable in that state for immediate consumption",2.5,2.5,5.0,
I,33A,,[Omitted],,,,
I,34,0814,"Peel of citrus fruit or melons (including watermelons), frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions",2.5,2.5,5.0,
I,35,0901,"Coffee roasted, whether or not decaffeinated coffee husks and skins; coffee substitutes containing coffee in any proportion [other than coffee beans not roasted]",2.5,2.5,5.0,
I,36,0902,"Tea, whether or not flavoured [other than unprocessed green leaves of tea",2.5,2.5,5.0,
I,37,0903,Maté,2.5,2.5,5.0,
I,38,0904,Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta,2.5,2.5,5.0,
I,39,0905,Vanilla,2.5,2.5,5.0,
I,40,0906,Cinnamon and cinnamon-tree flowers,2.5,2.5,5.0,
I,41,0907,"Cloves (whole fruit, cloves and stems)",2.5,2.5,5.0,
I,42,0908,"Nutmeg, mace and cardamoms",2.5,2.5,5.0,
I,43,0909,"Seeds of anise, badian, fennel, coriander, cumin or caraway; juniper berries [other than of seed quality]",2.5,2.5,5.0,
I,44,"0910 [other than 0910 11 10, 0910 30 10]","Ginger other than fresh ginger, saffron, turmeric (curcuma) other than fresh turmeric, thyme, bay leaves, curry and other spices",2.5,2.5,5.0,
I,45,10,All goods i.e. cereals pre-packaged and labelled.,2.5,2.5,5.0,
I,46,1001,Wheat and meslin pre-packaged and labelled.,2.5,2.5,5.0,
I,47,1002,Rye pre-packaged and labelled.,2.5,2.5,5.0,
I,48,1003,Barley pre-packaged and labelled.,2.5,2.5,5.0,
I,49,1004,Oats pre-packaged and labelled.,2.5,2.5,5.0,
I,50,1005,Maize (corn) pre-packaged and labelled.,2.5,2.5,5.0,
I,51,1006,Rice pre-packaged and labelled.,2.5,2.5,5.0,
I,52,1007,Grain sorghum pre-packaged and labelled.,2.5,2.5,5.0,
I,53,1008,"Buckwheat, millet and canary seed; other cereals such as Jawar, Bajra, Ragi pre-packaged and labelled.",2.5,2.5,5.0,
I,54,1101,Wheat or meslin flour pre-packaged and labelled.,2.5,2.5,5.0,
I,55,1102,"Cereal flours other than of wheat or meslin i.e. maize (corn) flour, Rye flour, etc. pre-packaged and labelled.",2.5,2.5,5.0,
I,56,1103,"Cereal groats, meal and pellets, including suji and dalia pre-packaged and labelled.",2.5,2.5,5.0,
I,57,1104,"Cereal grains otherwise worked (for example, rolled, flaked, pearled, sliced or kibbled), except rice of heading 1006; germ of cereals, whole, rolled, flaked or ground [other than hulled cereal grains]",2.5,2.5,5.0,
I,58,1105,"Meal, powder, Flour flakes, granules and pellets of potatoes pre-packaged and labelled.",2.5,2.5,5.0,
I,59,1106,"Meal and powder of the dried leguminous vegetables of heading 0713 (pulses) [other than guar meal 1106 10 10 and guar gum refined split {0713}], of sago or of roots or tubers of heading 0714 or of the products of Chapter 8 pre-packaged and labelled.",2.5,2.5,5.0,
I,60,,[Omitted],,,,
I,61,0713,Guar gum refined split,2.5,2.5,5.0,
I,62,1109 00 00,"Wheat gluten, whether or not dried",2.5,2.5,5.0,
I,63,12,All goods other than of seed quality,2.5,2.5,5.0,
I,64,1201,"Soya beans, whether or not broken other than of seed quality.",2.5,2.5,5.0,
I,65,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken other than of seed quality.",2.5,2.5,5.0,
I,66,1203,Copra,2.5,2.5,5.0,
I,67,1204,"Linseed, whether or not broken other than of seed quality.",2.5,2.5,5.0,
I,68,1205,"Rape or colza seeds, whether or not broken other than of seed quality.",2.5,2.5,5.0,
I,69,1206,"Sunflower seeds, whether or not broken other than of seed quality",2.5,2.5,5.0,
I,70,1207,"Other oil seeds and oleaginous fruits (i.e. Palm nuts and kernels, cotton seeds, Castor oil seeds, Sesamum seeds, Mustard seeds, Saffower (Carthamustinctorius) seeds, Melon seeds, Poppy seeds, Ajams, Mango kernel, Niger seed, Kokam) whether or not broken, other than of seed quality",2.5,2.5,5.0,
I,71,1208,"Flour and meals of oil seeds or oleaginous fruits, other than those of mustard",2.5,2.5,5.0,
I,71A,1209,Tamarind seeds meant for any use other than sowing,2.5,2.5,5.0,
I,72,1210 20 00,"Hop cones, ground, powdered or in the form of pellets; lupulin",2.5,2.5,5.0,
I,73,1211,"Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purpose, frozen or dried, whether or not cut, crushed or powdered",2.5,2.5,5.0,
I,74,1212,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products (including unroasted chicory roots of the variety Cichoriumintybussativum) of a kind used primarily for human consumption, not elsewhere specified or included",2.5,2.5,5.0,
I,75,1301,"Natural gums, resins, gum-resins and oleoresins (for example, balsams) [other than lac and shellac]",2.5,2.5,5.0,
I,76,1301,Compounded asafoetida commonly known as heeng,2.5,2.5,5.0,
I,76A,13,Tamarind Kernel powder,2.5,2.5,5.0,
I,77,1401,"Vegetable materials of a kind used primarily for plaiting (for example, bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw, and lime bark)",2.5,2.5,5.0,
I,78,"1404 [other than 1404 90 10, 1404 90 40, 1404 90 50] [1404 90 60","Vegetable products not elsewhere specified or included such as, Cotton linters, Soap nuts, Hard seeds, pips, hulls and nuts, of a kind used primarily for carving, Rudraksha seeds [other than bidi wrapper leaves (tendu), betel leaves, Indian katha, coconut shell, unworked",2.5,2.5,5.0,
I,78A,1404 or 3305,Mehendi paste in cones,2.5,2.5,5.0,
I,79,1507,"Soya-bean oil and its fractions, whether or not refined, but not chemically modified",2.5,2.5,5.0,
I,80,1508,"Ground-nut oil and its fractions, whether or not refined, but not chemically modified.",2.5,2.5,5.0,
I,81,1509,"Olive oil and its fractions, whether or not refined, but not chemically modified.",2.5,2.5,5.0,
I,82,1510,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading 1509",2.5,2.5,5.0,
I,83,1511,"Palm oil and its fractions, whether or not refined, but not chemically modified.",2.5,2.5,5.0,
I,84,1512,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not chemically modified.",2.5,2.5,5.0,
I,85,1513,"Coconut (copra), palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified.",2.5,2.5,5.0,
I,86,1514,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified.",2.5,2.5,5.0,
I,87,1515,"Other fixed vegetable or microbial fats and oils (including jojoba oil) and their fractions, whether or not refined, but not chemically modified",2.5,2.5,5.0,
I,88,1516,"Vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared.",2.5,2.5,5.0,
I,89,1517,"Edible mixtures or preparations of vegetable fats or vegetable oils or of fractions of different vegetable fats or vegetable oils of this Chapter, other than edible fats or oils or their fractions of heading 1516",2.5,2.5,5.0,
I,90,1518,"Vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading 1516",2.5,2.5,5.0,
I,91,1701,"Beet sugar, cane sugar",2.5,2.5,5.0,
I,91A,1701 or 1702,"Jaggery of all types including Cane Jaggery (gur), Palmyra Jaggery, pre-packaged and labelled; Khandsari Sugar, pre-packaged and labelled; Rab, pre-packaged and labelled",2.5,2.5,5.0,
I,92,1702 or 1704,"Palmyra sugar, mishri, batasha, bura, sakar, khadi sakar, harda, sakariya, gatta, kuliya, elaichidana, lukumdana, chikkis like puffed rice chikki, peanut chikki, sesame chikki, til chikki, til patti, til revdi, sugar makhana, groundnut sweets, gajak, khaja, khajuli, anarsa",2.5,2.5,5.0,
I,93,1801,"Cocoa beans whole or broken, raw or roasted",2.5,2.5,5.0,
I,94,1802,"Cocoa shells, husks, skins and other cocoa waste",2.5,2.5,5.0,
I,95,1803,Cocoa paste whether or not de-fatted,2.5,2.5,5.0,
I,96,1901 20 00,"Mixes and doughs for the preparation of bread, pastry and other baker's wares",2.5,2.5,5.0,
I,97,1902,Seviyan (vermicelli),2.5,2.5,5.0,
I,98,1903,"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, siftings or in similar forms. (sabudana)",2.5,2.5,5.0,
I,98A,1904,"Puffed rice, commonly known as Muri, flattened or beaten rice, commonly known as Chira, parched rice, commonly known as khoi, parched paddy or rice coated with sugar or gur, commonly known as Murki, pre-packaged and labelled”;",2.5,2.5,5.0,
I,99,1905,Pizza bread,2.5,2.5,5.0,
I,99A,1905 or 2106,"Khakhra, Plain chapatti or roti",2.5,2.5,5.0,
I,100,1905 40 00,"Rusks, toasted bread and similar toasted products",2.5,2.5,5.0,
I,100A,2106,"Roasted Gram, idli/dosa batter, chutney powder",2.5,2.5,5.0,
I,101,2106 90,Sweetmeats,2.5,2.5,5.0,
I,101A,2106 90,"Namkeens, bhujia, mixture, chabena and similar edible preparations in ready for consumption form, other than those pre-packaged and labelled.",2.5,2.5,5.0,
I,102,2201 90 10,Ice and snow,2.5,2.5,5.0,
I,102A,2207,Ethyl alcohol supplied to Oil Marketing Companies or Petroleum refineries for blending with motor spirit (petrol),2.5,2.5,5.0,
I,103,2301,"Flours, meals and pellets, of meat or meat offal, of fish or of crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption; greaves",2.5,2.5,5.0,
I,103A,2302,"Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of cereals or of leguminous plants [other than aquatic feed including shrimp feed and prawn feed, poultry feed and cattle feed, including grass, hay and straw, supplement and additives, husk of pulses including chilka, concentrates including chuni or churi, khanda, wheat bran, de-oiled cake",2.5,2.5,5.0,
I,103B,2302,Rice bran (other than de-oiled rice bran),2.5,2.5,5.0,
I,104,2303,"Residues of starch manufacture and similar residues, beet- pulp, bagasse and other waste of sugar manufacture,brewing or distilling dregs and waste, whether or not in the form of pellets",2.5,2.5,5.0,
I,105,2304,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soyabean oil",2.5,2.5,5.0,
I,106,2305,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of ground-nut oil.",2.5,2.5,5.0,
I,107,2306,"Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of vegetable or microbial fats or oils, other than those of heading 2304 or 2305 other than cottonseed oil cake",2.5,2.5,5.0,
I,108,2307,Wine lees; argol,2.5,2.5,5.0,
I,109,2401,Tobacco leaves,2.5,2.5,5.0,
I,110,2502,Unroasted iron pyrites.,2.5,2.5,5.0,
I,111,2503,"Sulphur of all kinds, other than sublimed sulphur, precipitated sulphur and colloidal sulphur",2.5,2.5,5.0,
I,112,2504,Natural graphite.,2.5,2.5,5.0,
I,113,2505,"Natural sands of all kinds, whether or not coloured, other than metal bearing sands of Chapter 26.",2.5,2.5,5.0,
I,114,2506,"Quartz (other than natural sands); quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.",2.5,2.5,5.0,
I,115,2507,"Kaolin and other kaolinic clays, whether or not calcined.",2.5,2.5,5.0,
I,116,2508,"Other clays (not including expanded clays of heading 6806), andalusite, kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earths.",2.5,2.5,5.0,
I,117,2509,Chalk.,2.5,2.5,5.0,
I,118,2510,"Natural calcium phosphates, natural aluminium calcium phosphates and phosphatic chalk.",2.5,2.5,5.0,
I,119,2511,"Natural barium sulphate (barytes); natural barium carbonate (witherite), whether or not calcined, other than barium oxide of heading 2816.",2.5,2.5,5.0,
I,120,2512,"Siliceous fossil meals (for example, kieselguhr, tripolite and diatomite) and similar siliceous earths, whether or not calcined, of an apparent specific gravity of 1 or less.",2.5,2.5,5.0,
I,121,2513,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated.",2.5,2.5,5.0,
I,122,2514,"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.",2.5,2.5,5.0,
I,123,"[2515 (Except 2515 12 10, 2515 12 20, 2515 12 90) or 6802","Ecaussine and other calcareous monumental or building stone alabaster [other than marble and travertine], other than mirror polished stone which is ready to use",2.5,2.5,5.0,
I,123A,2515 11 00,"Marble and travertine, crude or roughly trimmed",2.5,2.5,5.0,
I,124,"2516 [Except 2516 11 00, 2516 12 00]","Porphyry, basalt, sandstone and other monumental or building stone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.",2.5,2.5,5.0,
I,125,2516 11 00,Granite crude or roughly trimmed,2.5,2.5,5.0,
I,126,2517,"Pebbles, gravel, broken or crushed stone, of a kind commonly used for concrete aggregates, for road metalling or for railway or other ballast, shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in the first part of the heading; tarred macadam; grenules cheeping and powder of stones heading 2515 or 2516 whether or not heat treated.",2.5,2.5,5.0,
I,127,2518,"Dolomite, whether or not calcined or sintered, including dolomite roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; 2518 10 dolomite, Not calcined or sintered",2.5,2.5,5.0,
I,128,2519,"Natural magnesium carbonate (magnesite); fused magnesia; dead-burned (sintered) magnesia, whether or not containing small quantities of other oxides added before sintering; other magnesium oxide, whether or not pure.",2.5,2.5,5.0,
I,129,2520,"Gypsum; anhydrite; plasters (consisting of calcined gypsum or calcium sulphate) whether or not coloured, with or without small quantities of accelerators or retarders.",2.5,2.5,5.0,
I,130,2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement.",2.5,2.5,5.0,
I,131,2522,"Quicklime, slaked lime and hydraulic lime, other than calcium oxide and hydroxide of heading 2825.",2.5,2.5,5.0,
I,132,2524,Asbestos,2.5,2.5,5.0,
I,133,2525,"Mica, including splitting; mica waste.",2.5,2.5,5.0,
I,134,2526,"Natural steatite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; talc.",2.5,2.5,5.0,
I,135,2528,"Natural borates and concentrates thereof (whether or not calcined), but not including borates separated from natural brine; natural boric acid containing not more than 85% of H3BO3 (claculated on dry weight)",2.5,2.5,5.0,
I,136,2529,"Feldspar; leucite, nepheline and nepheline syenite; fluorspar.",2.5,2.5,5.0,
I,137,2530,Mineral substances not elsewhere specified or included.,2.5,2.5,5.0,
I,138,,Omitted,,,,
I,139,,Omitted,,,,
I,140,,Omitted,,,,
I,141,,Omitted,,,,
I,142,,Omitted,,,,
I,143,,Omitted,,,,
I,144,,Omitted,,,,
I,145,,Omitted,,,,
I,146,,Omitted,,,,
I,147,,Omitted,,,,
I,148,,Omitted,,,,
I,149,2611,Tungsten ores and concentrates.,2.5,2.5,5.0,
I,150,2612,Uranium or thorium ores and concentrates.,2.5,2.5,5.0,
I,151,2613,Molybdenum ores and concentrates.,2.5,2.5,5.0,
I,152,2614,Titanium ores and concentrates.,2.5,2.5,5.0,
I,153,2615,"Niobium, tantalum, vanadium or zirconium ores and concentrates.",2.5,2.5,5.0,
I,154,2616,Precious metal ores and concentrates.,2.5,2.5,5.0,
I,155,2617,Other ores and concentrates,2.5,2.5,5.0,
I,156,2618,Granulated slag (slag sand) from the manufacture of iron or steel,2.5,2.5,5.0,
I,156A,2621,Fly Ash,2.5,2.5,5.0,
I,157,27,Bio-gas,2.5,2.5,5.0,
I,158,2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal",2.5,2.5,5.0,
I,159,2702,"Lignite, whether or not agglomerated, excluding jet",2.5,2.5,5.0,
I,160,2703,"Peat (including peat litter), whether or not agglomerated",2.5,2.5,5.0,
I,161,2704,"Coke and semi coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon",2.5,2.5,5.0,
I,162,2705,"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons",2.5,2.5,5.0,
I,163,,Omitted,,,,
I,164,2710,"(a) kerosene oil PDS, (b) The following bunker fuels for use in ships or vessels, namely, i. IFO 180 CST ii. IFO 380 CST iii.Marine Fuel 0.5% (FO)",2.5,2.5,5.0,
I,165,"2711 12 00, 2711 13 00, 2711 19 00","Liquefied Propane and Butane mixture, Liquefied Propane, Liquefied Butane and Liquefied Petroleum Gases (LPG) for supply to non- domestic exempted category (NDEC) customers by the Indian Oil Corporation Limited, Hindustan petroleum Corporation Limited or Bharat Petroleum Corporation Limited.",2.5,2.5,5.0,
I,165A,"2711 12 00 2711 13 00, 2711 19 00","Liquefied Propane and Butane mixture, Liquefied Propane, Liquefied Butane and Liquefied Petroleum Gases (LPG) for supply to household domestic consumers”;",2.5,2.5,5.0,
I,166,28,Thorium oxalate,2.5,2.5,5.0,
I,167,28,Enriched KBF4 (enriched potassium fluroborate),2.5,2.5,5.0,
I,168,28,Enriched elemental boron,2.5,2.5,5.0,
I,169,28,Nuclear fuel,2.5,2.5,5.0,
I,170,2805 11,Nuclear grade sodium,2.5,2.5,5.0,
I,170A,2809,Fertilizer grade phosphoric acid,2.5,2.5,5.0,
I,171,2845,Heavy water and other nuclear fuels,2.5,2.5,5.0,
I,172,2853,Compressed air,2.5,2.5,5.0,
I,173,30,Insulin,2.5,2.5,5.0,
I,174,"3002, 3006",Animal or Human Blood Vaccines,2.5,2.5,5.0,
I,175,30,Diagnostic kits for detection of all types of hepatitis,2.5,2.5,5.0,
I,176,30,Desferrioxamine injection or deferiprone,2.5,2.5,5.0,
I,177,30,Cyclosporin,2.5,2.5,5.0,
I,178,30,Medicaments (including veterinary medicaments) used in bio-chemic systems and not bearing a brand name,2.5,2.5,5.0,
I,179,30,Oral re-hydration salts,2.5,2.5,5.0,
I,180,30 or any Chapter,"Drugs or medicines including their salts and esters and diagnostic test kits, specified in List 1 appended to this Schedule",2.5,2.5,5.0,
I,181,30,Formulations manufactured from the bulk drugs specified in List 2 appended to this Schedule,2.5,2.5,5.0,
I,181A,30,"Medicaments (including those used in Ayurvedic, Unani, Siddha, Homeopathic or Bio-chemic systems), manufactured exclusively in accordance with the formulae described in the authoritative books specified in the First Schedule to the Drugs and Cosmetics Act, 1940 (23 of 1940) or Homeopathic Pharmacopoeia of India or the United States of America or the United Kingdom or the German Homeopathic Pharmacopoeia, as the case may be, and sold under the name as specified in such books or pharmacopoeia",2.5,2.5,5.0,
I,181B,3006,"Ostomy appliances including pouch or flange, stoma adhesive paste, barrier cream, irrigator kit, sleeves, belt, micro-pore tapes",2.5,2.5,5.0,
I,182,3101,All goods i.e. animal or vegetable fertilisers or organic fertilisers pre-packaged and labelled,2.5,2.5,5.0,
I,182A,3102,"Mineral or chemical fertilisers, nitrogenous, other than those which are clearly not to be used as fertilizers",2.5,2.5,5.0,
I,182B,3103,"Mineral or chemical fertilisers, phosphatic, other than those which are clearly not to be used as fertilizers",2.5,2.5,5.0,
I,182C,3104,"Mineral or chemical fertilisers, potassic, other than those which are clearly not to be used as fertilizers",2.5,2.5,5.0,
I,182D,3105,"Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, phosphorus and potassium; other fertilisers; goods of this Chapter in tablets or similar forms or in packages of a gross weight not exceeding 10 kg; other than those which are clearly not to be used as fertilizers”;",2.5,2.5,5.0,
I,183,32,"Wattle extract, quebracho extract, chestnut extract",2.5,2.5,5.0,
I,184,3202,Enzymatic preparations for pre-tanning,2.5,2.5,5.0,
I,185,3307 41 00,"Agarbatti, lobhan, dhoop batti, dhoop, sambraani",2.5,2.5,5.0,
I,186,3402,"Sulphonated castor oil, fish oil or sperm oil",2.5,2.5,5.0,
I,186A,3816,Dolomite ramming mix,2.5,2.5,5.0,
I,186B,386,Bio-diesel supplied to Oil Marketing Companies for blending with High Speed Diesel,2.5,2.5,5.0,
I,187,,Omitted,,,,
I,188,4001,"Natural rubber, balata, gutta-percha, guayule, chicle and similar natural gums, in primary forms or in plates, sheets or strip",2.5,2.5,5.0,
I,188A,4004 00 00,"Waste, parings or scrap of rubber (other than hard rubber)",2.5,2.5,5.0,
I,189,4011 30 00,"New pneumatic tyres, of rubber of a kind used on aircraft",2.5,2.5,5.0,
I,190,"4011, 4013","Pneumatic tyres or inner tubes, of rubber, of a kind used on / in bicycles, cycle -rickshaws and three wheeled powered cycle rickshaws",2.5,2.5,5.0,
I,191,4016,Erasers,2.5,2.5,5.0,
I,191A,4017,Waste or scrap of hard rubber,2.5,2.5,5.0,
I,192,4101,"Raw hides and skins of bovine (including buffalo) or equine animals (fresh, or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment-dressed or further prepared), whether or not dehaired or split",2.5,2.5,5.0,
I,193,4102,"Raw skins of sheep or lambs (fresh, or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment-dressed or further prepared), whether or not with wool on or split",2.5,2.5,5.0,
I,194,4103,"Other raw hides and skins (fresh, or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment-dressed or further prepared), whether or not dehaired or split",2.5,2.5,5.0,
I,195,4104,"Tanned or crust hides and skins of bovine (including buffalo) or equine animals, without hair on, whether or not split, but not further prepared",2.5,2.5,5.0,
I,196,4105,"Tanned or crust skins of sheep or lambs, without wool on, whether or not split, but not further prepared",2.5,2.5,5.0,
I,197,4106,"Tanned or crust hides and skins of other animals, without wool or hair on, whether or not split, but not further prepared",2.5,2.5,5.0,
I,197A,,Omitted,,,,
I,197B,,Omitted,,,,
I,197C,,Omitted,,,,
I,197D,,Omitted,,,,
I,197E,,Omitted,,,,
I,198,4401,"Wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms",2.5,2.5,5.0,
I,198A,4501,"Natural cork, raw or simply prepared",2.5,2.5,5.0,
I,198A A,"4601, 4602","Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",2.5,2.5,5.0,
I,198B,4707,Recovered waste or scrap of paper or paperboard],2.5,2.5,5.0,
I,199,4801,"Newsprint, in rolls or sheets",2.5,2.5,5.0,
I,200,4823,"Kites, Paper mache articles",2.5,2.5,5.0,
I,201,4901,"Brochures, leaflets and similar printed matter, whether or not in single sheets",2.5,2.5,5.0,
I,202,5004 to 5006,Silk yarn,2.5,2.5,5.0,
I,203,5007,Woven fabrics of silk or of silk waste,2.5,2.5,5.0,
I,204,5104,"Garneted stock of wool or of fine or coarse animal hair, shoddy wool",2.5,2.5,5.0,
I,205,5105,"Wool and fine or coarse animal hair, carded or combed",2.5,2.5,5.0,
I,206,5106 to 5110,Yarn of wool or of animal hair,2.5,2.5,5.0,
I,207,5111 to 5113,Woven fabrics of wool or of animal hair,2.5,2.5,5.0,
I,208,5201 to 5203,Cotton and Cotton waste,2.5,2.5,5.0,
I,209,5204,"Cotton sewing thread, whether or not put up for retail sale",2.5,2.5,5.0,
I,210,5205 to 5207,Cotton yarn [other than khadi yarn],2.5,2.5,5.0,
I,211,5208 to 5212,Woven fabrics of cotton,2.5,2.5,5.0,
I,212,5301,"All goods i.e. flax, raw or processed but not spun; flax tow and waste (including yarn waste and garneted stock)",2.5,2.5,5.0,
I,213,5302,"True hemp (Cannabis sativa L), raw or processed but not spun; tow and waste of true hemp (including yarn waste and garneted stock)",2.5,2.5,5.0,
I,214,5303,"All goods i.e. textile bast fibres [other than jute fibres, raw or processed but not spun]; tow and waste of these fibres (including yarn waste and garneted stock)",2.5,2.5,5.0,
